Date,Steps,Calories,Distance,Active Minutes,Floors Climbed,Hours Slept,Times Awake
9/27/2014,6481,2365,2.9,24,6,,
9/28/2014,9684,2559,4.3,4,0,,
9/29/2014,6652,2349,3.0,13,5,,
9/30/2014,2052,1979,0.9,2,0,,
10/1/2014,15947,2816,7.1,17,5,,
10/2/2014,11490,2655,5.1,28,8,,
10/3/2014,7872,2327,3.5,13,4,,
10/4/2014,9007,2386,4.0,4,3,,
10/5/2014,7221,2254,3.2,5,1,,
10/6/2014,6973,2429,3.1,14,2,,
10/7/2014,7068,2447,3.1,20,4,,
10/8/2014,8105,2427,3.6,18,6,,
10/9/2014,8400,2471,3.7,10,3,,
10/10/2014,7125,2362,3.2,7,0,,
10/11/2014,5307,2194,2.4,3,1,,
10/12/2014,6041,2239,2.7,13,0,,
10/13/2014,6397,2356,2.9,0,3,,
10/14/2014,8635,2421,3.9,19,6,,
10/15/2014,4391,2154,2.0,11,0,,
10/16/2014,5708,2304,2.5,17,4,,
10/17/2014,13119,2590,5.8,23,2,,
10/18/2014,5770,2200,2.6,0,0,,
10/19/2014,6334,2408,2.8,6,4,,
10/20/2014,11189,2592,5.0,20,2,,
10/21/2014,5405,2484,2.4,8,0,,
10/22/2014,11170,3118,5.0,29,22,,
10/23/2014,9625,2792,4.3,6,25,,
10/24/2014,11371,2910,5.1,0,2,,
10/25/2014,5529,2241,2.5,3,2,,
10/26/2014,5074,2184,2.3,2,0,,
10/27/2014,9300,2392,4.1,16,1,,
10/28/2014,4918,2197,2.2,12,2,,
10/29/2014,4016,2136,1.8,13,2,,
10/30/2014,5528,2222,2.5,10,5,,
10/31/2014,14117,2664,6.3,32,7,,
11/1/2014,12193,2359,5.4,13,9,,
11/2/2014,3647,2304,1.6,0,2,,
11/3/2014,5224,2198,2.3,12,2,,
11/4/2014,7835,2299,3.5,11,2,,
11/5/2014,4595,2181,2.0,12,2,,
11/6/2014,8527,2323,3.8,14,4,,
11/7/2014,6141,2144,3.7,11,2,,
11/8/2014,4071,2198,1.8,2,4,,
11/9/2014,7020,2295,3.3,12,2,,
11/10/2014,8003,2346,3.7,22,4,,
11/11/2014,6258,2205,2.8,0,0,,
11/12/2014,6213,2338,2.8,17,2,,
11/13/2014,7804,2397,3.6,27,4,,
11/14/2014,6743,2262,3.1,15,5,,
11/15/2014,7096,2360,3.3,12,1,,
11/16/2014,5739,2214,2.6,12,0,,
11/17/2014,5619,2194,2.5,0,2,,
11/18/2014,6694,2228,3.0,12,3,,
11/19/2014,6547,2254,2.9,7,2,,
